DBN,school_name,math_score,reading_score,writing_score
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),356,343,330
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,371,370,365
10X434,BELMONT PREPARATORY HIGH SCHOOL,418,404,400
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,350,355,372
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,385,367,367
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,364,366,352
10X440,DEWITT CLINTON HIGH SCHOOL,426,419,410
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",420,423,427
10X445,BRONX HIGH SCHOOL OF SCIENCE,688,632,649
10X475,JOHN F. KENNEDY HIGH SCHOOL,362,351,339
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,435,414,414
10X478,LEARNING TO WORK GED AT JOHN F. KENNEDY,s,s,s
10X546,BRONX THEATRE HIGH SCHOOL,362,348,354
10X549,DISCOVERY HIGH SCHOOL,379,372,364
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,382,362,356
10X667,GRACE DODGE YABC,356,350,317
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,648,636,636
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,381,370,382
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,357,400,390
11X265,BRONX LAB SCHOOL,391,377,367
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,394,386,361
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,376,381,354
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,471,444,433
11X290,BRONX ACADEMY OF HEALTH CAREERS,365,387,383
11X299,ASTOR COLLEGIATE ACADEMY,391,387,391
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,361,367,353
11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,s,s,s
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,433,419,416
11X455,HARRY S TRUMAN HIGH SCHOOL,397,386,368
11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,s,s,s
11X513,NEW WORLD HIGH SCHOOL,381,332,335
11X514,THE BRONXWOOD PREPARATORY ACADEMY,372,377,363
